task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO129532-10,[173],2007.79,2037.79,"[[[2007.79,2037.79]]]",2024-08-29 09:27:47.4,2024-08-29 09:57:47.4
WO129533-10,[270],2040.0,2070.0,"[[[2040.0,2070.0]]]",2024-08-29 10:00:00,2024-08-29 10:30:00
WO129534-10,[270],2250.0,2340.0,"[[[2250.0,2340.0]]]",2024-08-29 13:30:00,2024-08-29 15:00:00
WO129535-10,[270],2010.0,2040.0,"[[[2010.0,2040.0]]]",2024-08-29 09:30:00,2024-08-29 10:00:00
WO129538-10,[173],2273.0,2302.82,"[[[2273.0,2302.82]]]",2024-08-29 13:53:00,2024-08-29 14:22:49.2
WO129539-10,[173],10920.0,10980.0,"[[[10920.0,10980.0]]]",2024-09-04 14:00:00,2024-09-04 15:00:00
WO129540-10,[173],10830.0,10890.0,"[[[10830.0,10890.0]]]",2024-09-04 12:30:00,2024-09-04 13:30:00
WO129541-10,[173],10620.0,10680.0,"[[[10620.0,10680.0]]]",2024-09-04 09:00:00,2024-09-04 10:00:00
WO129542-10,[101],2204.0,2233.94,"[[[2204.0,2233.94]]]",2024-08-29 12:44:00,2024-08-29 13:13:56.4
WO129543-10,[270],2070.0,2100.0,"[[[2070.0,2100.0]]]",2024-08-29 10:30:00,2024-08-29 11:00:00
WO129544-10,[101],2233.94,2263.94,"[[[2233.94,2263.94]]]",2024-08-29 13:13:56.4,2024-08-29 13:43:56.4
WO129545-10,[38],450.0,480.0,"[[[450.0,480.0]]]",2024-08-28 07:30:00,2024-08-28 08:00:00
WO129546-10,[101],2263.94,2293.94,"[[[2263.94,2293.94]]]",2024-08-29 13:43:56.4,2024-08-29 14:13:56.4
WO129547-10,[173],1950.0,1979.74,"[[[1950.0,1979.74]]]",2024-08-29 08:30:00,2024-08-29 08:59:44.4
WO129548-10,[270],2160.0,2220.0,"[[[2160.0,2220.0]]]",2024-08-29 12:00:00,2024-08-29 13:00:00
WO129549-10,[270],2130.0,2160.0,"[[[2130.0,2160.0]]]",2024-08-29 11:30:00,2024-08-29 12:00:00
WO129550-10,[173],1920.0,1950.0,"[[[1920.0,1950.0]]]",2024-08-29 08:00:00,2024-08-29 08:30:00
WO129551-10,[244],678.51,708.51,"[[[678.51,708.51]]]",2024-08-28 11:18:30.6,2024-08-28 11:48:30.6
WO129555-10,[101],1887.79,1917.79,"[[[1887.79,1917.79]]]",2024-08-29 07:27:47.4,2024-08-29 07:57:47.4
WO129556-10,[270],1890.0,1920.0,"[[[1890.0,1920.0]]]",2024-08-29 07:30:00,2024-08-29 08:00:00
WO129573-10,[270],1920.0,1950.0,"[[[1920.0,1950.0]]]",2024-08-29 08:00:00,2024-08-29 08:30:00
WO129575-10,[101],1917.79,1947.79,"[[[1917.79,1947.79]]]",2024-08-29 07:57:47.4,2024-08-29 08:27:47.4
WO129588-10,[106],10560.0,10620.0,"[[[10560.0,10620.0]]]",2024-09-04 08:00:00,2024-09-04 09:00:00
WO129592-10,[106],10530.0,10560.0,"[[[10530.0,10560.0]]]",2024-09-04 07:30:00,2024-09-04 08:00:00
WO129593-10,[106],10500.0,10530.0,"[[[10500.0,10530.0]]]",2024-09-04 07:00:00,2024-09-04 07:30:00
WO129594-10,[106],10470.0,10500.0,"[[[10470.0,10500.0]]]",2024-09-04 06:30:00,2024-09-04 07:00:00
WO129595-10,[106],10710.0,10740.0,"[[[10710.0,10740.0]]]",2024-09-04 10:30:00,2024-09-04 11:00:00
WO129596-10,[106],10740.0,10770.0,"[[[10740.0,10770.0]]]",2024-09-04 11:00:00,2024-09-04 11:30:00
WO129597-10,[106],10650.0,10680.0,"[[[10650.0,10680.0]]]",2024-09-04 09:30:00,2024-09-04 10:00:00
WO129598-10,[106],10680.0,10710.0,"[[[10680.0,10710.0]]]",2024-09-04 10:00:00,2024-09-04 10:30:00
